empire_id,question,option_a,option_b,option_c,option_d,correct,difficulty,category,explanation,verified
1,Where were most common labourers employed in Roman society?,Water collection,Agriculture,A charcoal brazier,Water,B,2,culture,,False
1,What were some of the dishes enjoyed by Roman 'foodies' during the late Republic?,"Wild game, fowl such as peacock and flamingo, large fish, and shellfish.","Conservative Romans viewed the mysteries with suspicion as characteristic of 'magic', conspiracy, and subversive activity.","This arrangement was a factor in the degree of independence Roman women enjoyed compared to many other cultures up to the modern period: although she had to answer to her father in legal matters, she was free of his direct scrutiny in daily life, and her husband had no legal power over her.",Maintaining rather than expanding the empire,A,2,politics,,False
1,What were the primary subjects taught in home education during primary education?,"produce—cereals, legumes, vegetables, and fruit",Cultured aristocrats and girls trained to be calligraphers and scribes,"Olive oil, wine, and pork.","reading, writing, and arithmetic",D,2,culture,,False
1,Which cults in Rome featured ecstatic dancing?,"Kid, beans, greens, a chicken, and leftover ham",The cults of Cybele and Isis featured ecstatic dancing.,Spectacles could quickly become sites of social and political protest.,His former master became his patron (patronus): the two continued to have customary and legal obligations to each other.,B,2,culture,,False
1,"According to the text, which group enjoyed a high standard of living in the Roman Empire?",The Constitutio Antoniniana extended citizenship to all freeborn inhabitants of the empire.,"good for the people, to inspire them to face honourable wounds and despise death, by exhibiting love of glory and desire for victory",The cults of Cybele and Isis.,The lower classes of provincial towns,D,2,culture,,False
1,Who recognized the importance of a good diet to health?,Medical writers such as Galen,The main commodity traded in the Roman empire was grain.,Christianity emerged in Roman Judaea in the 1st century.,"Investing one's wealth in grand estates or townhouses, luxury items, public entertainments, funerary monuments, and religious dedications.",A,2,culture,,False
1,What did the revenues from the estate tax and auction tax go towards?,"The primary aims of public facilities in the Roman Empire were to serve hygienic, social, and cultural functions.",hoop rolling and knucklebones (astragali or 'jacks'),veterans' pension fund (aerarium militare),Cultured aristocrats and girls trained to be calligraphers and scribes,C,2,politics,,False
1,How did the system of banks in ancient Rome facilitate the exchange of large sums without physically transferring coins?,"Roman baths were known for offering communal bathing in three temperatures and amenities such as exercise rooms, saunas, and outdoor swimming pools.",Plagiarism or forgery were common,By allowing the holder of a debt to transfer it to another party as a means of payment,Crucifixion and condemnation to the beasts.,C,2,culture,,False
1,What material were the tunics of poor people and labouring slaves made from?,rhetoric and philosophy,Apollodorus of Damascus,Mystery religions,coarse wool,D,2,culture,,False
1,What is the period of peace and prosperity called that began with Augustus's rule?,Hadrian adopted a policy of maintaining rather than expanding the empire,The period of peace and prosperity that began with Augustus's rule is called Pax Romana.,Hadrian ruled from 117 to 138.,emperor Domitian,B,2,rulers,,False
1,What type of books were popular and poorly represented by extant fragments?,"Illustrated books, including erotica.",Greek and Latin literature,to maintain the public peace,"Because conservative Romans viewed their exclusive oaths and secrecy as characteristic of 'magic', conspiracy, and subversive activity.",A,2,culture,,False
1,Who were the professionals involved in the trading of textiles and finished garments?,"Tunics, cloaks, and trousers.",Slaves were numerate and literate in significant numbers; some were highly educated.,The Tabula Peutingeriana (The Peutinger Map),local businessmen (negotiatores or mercatores),D,2,culture,,False
1,What was the purpose of the 4% tax on the sale of slaves instituted by Augustus?,The tax was intended to generate revenue for the Roman government.,By cooperating with local elites,"reductions in long-distance trade, disruption of mining operations, and the physical transfer of gold coinage outside the empire by invading enemies",The Empire had a network of regional economies based on a form of 'political capitalism' where the state regulated commerce to assure its own revenues.,A,2,rulers,,False
1,What are some distinctive elements of Roman temples?,Roman policy was to respect the mos regionis and to regard local laws as a source of legal precedent and social stability.,Decurions who had risen to the Senate were encouraged to return to their hometowns.,"Roman temples developed Etruscan and Greek forms, with some distinctive elements.","A freedman was not entitled to hold public office or the highest state priesthoods, could not marry a woman from a senatorial family, nor achieve legitimate senatorial rank himself",C,2,culture,,False
1,What were some of the earliest designations for gladiator fighting styles?,The Campus Martius,"""Thracian"" or ""Gallic""",Most areas,Banned it altogether,B,2,culture,,False
1,What is a characteristic of sarcophagus relief in ancient Rome?,The emperor had the final say in the outcome of spectacles and arena events in ancient Rome.,The grain dole was provided by the state to citizens who registered for it as a means of maintaining an affordable food supply to the city of Rome.,The top governing ordo of individual cities outside of Rome were called decurions or curiales.,Sarcophagus relief in ancient Rome is known for depicting mythological scenes or Jewish/Christian imagery as well as the deceased's life.,D,2,religion,,False
1,What phrase expressed the ideology of the Roman Empire as limitless?,imperium sine fine,The Russian Tsardom,Strabo,A household shrine,A,2,culture,,False
